cenario_id,prompt_usado,status,tentativas,tempo_total_s,usou_web_search,tipo_input,contexto_pobre,erro_validacao_final,veredito_juiz,juiz_logsource,juiz_modifiers,juiz_condition,juiz_structure,juiz_semantic_alignment,juiz_invented_filters,motivo_reprovacao,regra_referencia,arquivo_regra_gerada,arquivo_parecer,lote_origem
1 bitbucket_audit_unauthorized_full_data_export_triggered,prompt1,APROVADO,3,103.62,True,texto_livre,True,APROVADO,APPROVED,PASS,PASS,PASS,PASS,PASS,PASS,,bitbucket_audit_unauthorized_full_data_export_triggered.yml,bitbucket_audit_unauthorized_full_data_export_triggered_prompt1.yml,bitbucket_audit_unauthorized_full_data_export_triggered_prompt1.parecer.txt,1
1 bitbucket_audit_unauthorized_full_data_export_triggered,prompt2,APROVADO,4,115.57,True,texto_livre,False,APROVADO,APPROVED_WITH_WARNINGS,PASS,WARN,PASS,WARN,PASS,PASS,,bitbucket_audit_unauthorized_full_data_export_triggered.yml,bitbucket_audit_unauthorized_full_data_export_triggered_prompt2.yml,bitbucket_audit_unauthorized_full_data_export_triggered_prompt2.parecer.txt,1
1 bitbucket_audit_unauthorized_full_data_export_triggered,prompt3,APROVADO,2,80.46,True,texto_livre,False,APROVADO,APPROVED_WITH_WARNINGS,PASS,WARN,PASS,PASS,PASS,PASS,,bitbucket_audit_unauthorized_full_data_export_triggered.yml,bitbucket_audit_unauthorized_full_data_export_triggered_prompt3.yml,bitbucket_audit_unauthorized_full_data_export_triggered_prompt3.parecer.txt,1
10 db_anomalous_query,prompt1,REPROVADO,4,76.81,True,texto_livre,True,"Etapa 3 falhou - erro de semântica - 
pySigma relata: Sigma rule must contain at least one condition",APPROVED_WITH_WARNINGS,PASS,WARN,PASS,PASS,WARN,PASS,"[no_5_validador] Etapa 3 falhou - erro de semântica - 
pySigma relata: Sigma rule must contain at least one condition || [no_6_juiz/APPROVED_WITH_WARNINGS] modifiers[WARN]: |contains is used appropriately for detecting the presence of 'sqlmap' in Image or CommandLine, but it might be better to use exact match if specific paths or file names are known. | semantic_alignment[WARN]: The rule aims to detect suspicious code execution via SQLMap but may not catch all instances if the exact path or command line arguments vary widely.",db_anomalous_query.yml,db_anomalous_query_prompt1.yml,db_anomalous_query_prompt1.parecer.txt,1
10 db_anomalous_query,prompt2,REPROVADO,4,83.7,True,texto_livre,False,Etapa 2 falhou - faltou campo obrigatório: 'title',REJECTED,FAIL,PASS,PASS,WARN,FAIL,FAIL,"[no_5_validador] Etapa 2 falhou - faltou campo obrigatório: 'title' || [no_6_juiz/REJECTED] logsource[FAIL]: The log source category is incorrectly set to 'registry_event' instead of 'database'. Additionally, the product should be more specific if possible. | structure[WARN]: Missing required fields such as 'level' which should be set to 'high'. Additionally, the rule lacks a reference to SQL query logging being enabled. | semantic_alignment[FAIL]: The detection logic does not align with the threat description. The rule focuses on specific keywords but misses broader reconnaissance and exfiltration activities such as SELEC... | invented_filters[FAIL]: The log source category 'registry_event' has no basis in the threat description. The rule should use 'database' instead.",db_anomalous_query.yml,db_anomalous_query_prompt2.yml,db_anomalous_query_prompt2.parecer.txt,1
10 db_anomalous_query,prompt3,APROVADO,3,77.4,True,texto_livre,False,APROVADO,APPROVED_WITH_WARNINGS,PASS,WARN,PASS,WARN,PASS,PASS,,db_anomalous_query.yml,db_anomalous_query_prompt3.yml,db_anomalous_query_prompt3.parecer.txt,1
11 file_delete_win_delete_exchange_powershell_logs,prompt1,APROVADO,2,98.37,True,texto_livre,True,APROVADO,APPROVED_WITH_WARNINGS,PASS,WARN,PASS,PASS,WARN,PASS,,file_delete_win_delete_exchange_powershell_logs.yml,file_delete_win_delete_exchange_powershell_logs_prompt1.yml,file_delete_win_delete_exchange_powershell_logs_prompt1.parecer.txt,2
11 file_delete_win_delete_exchange_powershell_logs,prompt2,APROVADO,1,75.75,True,texto_livre,False,APROVADO,APPROVED_WITH_WARNINGS,PASS,WARN,PASS,PASS,WARN,FAIL,,file_delete_win_delete_exchange_powershell_logs.yml,file_delete_win_delete_exchange_powershell_logs_prompt2.yml,file_delete_win_delete_exchange_powershell_logs_prompt2.parecer.txt,2
11 file_delete_win_delete_exchange_powershell_logs,prompt3,REPROVADO,4,100.1,True,texto_livre,False,"Etapa 3 falhou - erro de semântica - 
pySigma relata: Sigma rule author must be a string",APPROVED_WITH_WARNINGS,PASS,WARN,PASS,PASS,WARN,FAIL,"[no_5_validador] Etapa 3 falhou - erro de semântica - 
pySigma relata: Sigma rule author must be a string || [no_6_juiz/APPROVED_WITH_WARNINGS] modifiers[WARN]: `|endswith` is appropriate for matching file extensions, but it would be better to use a combination of `startswith` and `contains` to match the directory path and filename patt... | semantic_alignment[WARN]: The rule aims to detect deletion of Exchange PowerShell cmdlet history logs but does not specify a directory path or filename pattern that is typical for such logs. This may lea... | invented_filters[FAIL]: The rule lacks specific filters for the Exchange cmdlet logging directory structure and does not include a filename pattern, which has a basis in the threat description. This om...",file_delete_win_delete_exchange_powershell_logs.yml,file_delete_win_delete_exchange_powershell_logs_prompt3.yml,file_delete_win_delete_exchange_powershell_logs_prompt3.parecer.txt,2
12 net_dns_katz_stealer_domain,prompt1,APROVADO,4,85.53,True,texto_livre,False,APROVADO,APPROVED,PASS,PASS,PASS,PASS,PASS,PASS,,net_dns_katz_stealer_domain.yml,net_dns_katz_stealer_domain_prompt1.yml,net_dns_katz_stealer_domain_prompt1.parecer.txt,2
