Dimensão,Status,Cenário,Prompt,Comentário
modifiers,FAIL,40 file_event_macos_python_path_configuration_files,prompt2,"No modifiers like |contains, |endswith are used in the rule."
modifiers,FAIL,47 proc_access_win_lsass_susp_access_flag,prompt2,"Modifiers are incorrectly used. The spec requires |endswith and |startswith for GrantedAccess values, but none are present in the rule. Also, CommandLine modifier usage is incor..."
modifiers,FAIL,47 proc_access_win_lsass_susp_access_flag,prompt3,Modifiers like |endswith and |startswith are missing for specific GrantedAccess values as per the spec.
modifiers,WARN,10 db_anomalous_query,prompt1,"|contains is used appropriately for detecting the presence of 'sqlmap' in Image or CommandLine, but it might be better to use exact match if specific paths or file names are known."
modifiers,WARN,11 file_delete_win_delete_exchange_powershell_logs,prompt3,"`|endswith` is appropriate for matching file extensions, but it would be better to use a combination of `startswith` and `contains` to match the directory path and filename patt..."
modifiers,WARN,13 opencanary_ssh_login_attempt,prompt2,"Exact match is used for logtype, but no modifier was specified. Should be |equals to ensure exact matching."
semantic_alignment,FAIL,10 db_anomalous_query,prompt2,The detection logic does not align with the threat description. The rule focuses on specific keywords but misses broader reconnaissance and exfiltration activities such as SELEC...
semantic_alignment,FAIL,23 win_appxdeployment_server_appx_downloaded_from_file_sharing_domains,prompt2,The detection logic does not align with the threat description. It checks for command line arguments instead of paths containing known domains.
semantic_alignment,FAIL,26 win_security_exploit_cve_2023_36884_office_windows_html_rce_share_access_pattern,prompt2,The detection logic does not align with the threat description. It lacks conditions to match specific IP patterns in share names or paths as required by the spec.
semantic_alignment,WARN,10 db_anomalous_query,prompt1,The rule aims to detect suspicious code execution via SQLMap but may not catch all instances if the exact path or command line arguments vary widely.
semantic_alignment,WARN,11 file_delete_win_delete_exchange_powershell_logs,prompt3,The rule aims to detect deletion of Exchange PowerShell cmdlet history logs but does not specify a directory path or filename pattern that is typical for such logs. This may lea...
semantic_alignment,WARN,13 opencanary_ssh_login_attempt,prompt1,"The detection may not accurately catch the stated threat as it relies on 'hpfeeds' appearing in network connection fields, which might be too broad or specific depending on log ..."
logsource,FAIL,10 db_anomalous_query,prompt2,"The log source category is incorrectly set to 'registry_event' instead of 'database'. Additionally, the product should be more specific if possible."
logsource,FAIL,23 win_appxdeployment_server_appx_downloaded_from_file_sharing_domains,prompt2,"The log source specified is incorrect. The rule should use 'appxdeployment-server' as the product, not 'Windows'. Additionally, there's no service mentioned."
logsource,FAIL,26 win_security_exploit_cve_2023_36884_office_windows_html_rce_share_access_pattern,prompt2,"The rule uses 'file_event' as the category, but the threat description specifies that it should be related to file share access which is typically found in security logs under a..."
logsource,WARN,13 opencanary_ssh_login_attempt,prompt1,The product field is not typically used in this way and may be better specified with a service or category that aligns more closely with the threat.
logsource,WARN,14 proxy_exploit_cve_2023_1389_unauth_command_injection_tplink_archer_ax21,prompt2,"The log source category should be 'proxy' as per the spec, not 'webserver'. The product is correctly specified as 'tp-link', but the category needs to match the target environment."
logsource,WARN,14 proxy_exploit_cve_2023_1389_unauth_command_injection_tplink_archer_ax21,prompt3,"The log source category should be 'proxy' as per the specification, not 'webserver'. The product is correctly specified."
